ds,y
2025-01-01,116
2025-01-02,128
2025-01-03,107
2025-01-04,123
2025-01-05,132
2025-01-06,109
2025-01-07,113
2025-01-08,118
2025-01-09,124
2025-01-10,113
2025-01-11,119
2025-01-12,109
2025-01-13,123
2025-01-14,123
2025-01-15,113
2025-01-16,126
2025-01-17,105
2025-01-18,112
2025-01-19,114
2025-01-20,121
2025-01-21,123
2025-01-22,102
2025-01-23,94
2025-01-24,116
2025-01-25,132
2025-01-26,113
2025-01-27,106
2025-01-28,129
2025-01-29,127
2025-01-30,129
2025-01-31,115
2025-02-01,134
2025-02-02,114
2025-02-03,114
2025-02-04,128
2025-02-05,136
2025-02-06,105
2025-02-07,129
2025-02-08,129
2025-02-09,121
2025-02-10,114
2025-02-11,137
2025-02-12,117
2025-02-13,111
2025-02-14,113
2025-02-15,140
2025-02-16,124
2025-02-17,131
2025-02-18,136
2025-02-19,114
2025-02-20,111
2025-02-21,131
2025-02-22,117
2025-02-23,105
2025-02-24,143
2025-02-25,121
2025-02-26,116
2025-02-27,149
2025-02-28,120
2025-03-01,113
2025-03-02,123
2025-03-03,96
2025-03-04,137
2025-03-05,107
2025-03-06,126
2025-03-07,111
2025-03-08,116
2025-03-09,124
2025-03-10,102
2025-03-11,114
2025-03-12,126
2025-03-13,120
2025-03-14,125
2025-03-15,126
2025-03-16,141
2025-03-17,115
2025-03-18,139
2025-03-19,112
2025-03-20,131
2025-03-21,121
2025-03-22,103
2025-03-23,137
2025-03-24,115
2025-03-25,127
2025-03-26,135
2025-03-27,125
2025-03-28,108
2025-03-29,123
2025-03-30,103
2025-03-31,121
2025-04-01,125
2025-04-02,127
2025-04-03,114
2025-04-04,125
2025-04-05,125
2025-04-06,103
2025-04-07,112
2025-04-08,136
2025-04-09,130
2025-04-10,122
2025-04-11,109
2025-04-12,113
2025-04-13,125
2025-04-14,138
2025-04-15,118
2025-04-16,113
2025-04-17,133
2025-04-18,108
2025-04-19,141
2025-04-20,122
2025-04-21,106
2025-04-22,135
2025-04-23,126
2025-04-24,115
2025-04-25,131
2025-04-26,120
2025-04-27,130
2025-04-28,127
2025-04-29,136
2025-04-30,116
2025-05-01,122
2025-05-02,119
2025-05-03,113
2025-05-04,86
2025-05-05,132
2025-05-06,105
2025-05-07,129
2025-05-08,124
2025-05-09,96
2025-05-10,121
2025-05-11,120
2025-05-12,130
2025-05-13,118
2025-05-14,132
2025-05-15,117
2025-05-16,107
2025-05-17,121
2025-05-18,125
2025-05-19,122
2025-05-20,117
2025-05-21,115
2025-05-22,94
2025-05-23,133
2025-05-24,119
2025-05-25,120
2025-05-26,108
2025-05-27,117
2025-05-28,124
2025-05-29,116
2025-05-30,120
2025-05-31,125
2025-06-01,100
2025-06-02,142
2025-06-03,116
2025-06-04,119
2025-06-05,142
2025-06-06,109
2025-06-07,103
2025-06-08,103
2025-06-09,100
2025-06-10,133
2025-06-11,131
2025-06-12,105
2025-06-13,124
2025-06-14,128
2025-06-15,113
2025-06-16,128
2025-06-17,116
2025-06-18,115
2025-06-19,133
2025-06-20,128
2025-06-21,104
2025-06-22,120
2025-06-23,114
2025-06-24,116
2025-06-25,137
2025-06-26,114
2025-06-27,145
2025-06-28,124
2025-06-29,113
2025-06-30,126
